,Number of Nodes,Sample Size,Plato Avg,Best Fitness Avg,Graph Type,Min Fitness,Fitness List
Hill Climbing,5,1000,3.493,1,Complete,1,
Hill Climbing,6,1000,7.62351868732908,2.86463081130356,Complete,,
Hill Climbing,7,1000,6.722,2.151,Complete,,
Hill Climbing,10,,,,Complete,,
Simulated Annealing,5,1000,25.033,1,Complete,1,"2.226, 2.246, 2.232, 2.243, 2.248, 2.202, 2.199, 2.042, 1.942,1, 1, 1"
Simulated Annealing,6,1000,820.03,1.188,Complete,1,"4.097, 4.075, 3.916, 4.109, 4.068, 4.004, 3.96 , 3.926, 3.569, 1.961, 1.475, 1.233"
Simulated Annealing,7,1000,562.056,3.277,Complete,2,"6.431, 6.423, 6.391, 6.326, 6.434, 6.33 , 6.439, 6.34 , 5.716, 4.009, 3.381, 3.287"
Simulated Annealing,8,1000,504.619,5.891,Complete,4,"9.325, 9.354, 9.305, 9.323, 9.279, 9.313, 9.297, 9.082, 8.881, 6.51 , 5.931, 5.902"
Simulated Annealing,9,1000,447.717,9.081,Complete,7.0,"12.713, 12.715, 12.512, 12.597, 12.702, 12.523, 12.567, 12.614, 11.921, 9.537, 9.114, 9.099"
Simulated Annealing,10,1000,443.871,12.781,Complete,10.0,"16.645, 16.5 , 16.499, 16.486, 16.549, 16.605, 16.603, 16.408,15.934, 13.262, 12.824, 12.816"
Simulated Annealing,5,1000,3.568,0,Complete Bipartite,0,"0.512, 0.506, 0.507, 0.477, 0.458, 0.538, 0.34 , 0.33, 0.234, 0, 0, 0"
Simulated Annealing,6,1000,815.007,1.159,Complete Bipartite,1.0,"4.083, 4.09 , 4.082, 4.062, 3.982, 3.959, 4.027, 4.003, 3.707,1.931, 1.435, 1.204"
Simulated Annealing,7,1000,602.933,2.779,Complete Bipartite,1.0,"5.92 , 5.968, 5.981, 5.939, 5.962, 5.819, 5.965, 5.856, 5.482, 3.561, 2.907, 2.792"
Simulated Annealing,8,1000,504.503,5.837,Complete Bipartite,4,"9.292, 9.283, 9.255, 9.35 , 9.226, 9.297, 9.301, 9.018, 8.946, 6.449, 5.888, 5.854"
Simulated Annealing,9,1000,504.299,8.517,Complete Bipartite,6,"12.253, 12.11 , 12.142, 12.215, 12.114, 12.209, 12.143, 12.222, 11.666, 9.099, 8.552, 8.525"
Simulated Annealing,10,1000,637.429,6.678,Complete Bipartite,4,"10.785, 10.766, 10.717, 10.759, 10.727, 10.733, 10.678, 10.659, 10.04 , 7.552, 6.803, 6.69"
Random Hill Climbing,5,1000,16.225,1,Complete,1,"1.38 , 1.38 , 1.38 , 1.38 , 1.38 , 1.15 , 1.05 , 1.001, 1, 1, 1, 1"
Random Hill Climbing,6,1000,68.861,2.033,Complete,1,"2.839, 2.839, 2.839, 2.839, 2.839, 2.599, 2.466, 2.247, 2.045, 2.045, 2.045, 2.045"
Random Hill Climbing,7,1000,73.068,3.963,Complete,3,"4.879, 4.879, 4.879, 4.879, 4.879, 4.608, 4.456, 4.193, 3.981, 3.981, 3.981, 3.981"
Random Hill Climbing,8,1000,74.811,6.45,Complete,5,"7.427, 7.426, 7.426, 7.426, 7.426, 7.116, 6.932, 6.729, 6.48 , 6.48 , 6.48 , 6.48"
Random Hill Climbing,9,1000,82.205,9.481,Complete,7,"10.639, 10.636, 10.636, 10.636, 10.636, 10.297, 10.065,  9.779, 9.508,  9.508,  9.508,  9.508"
Random Hill Climbing,10,1000,87.353,13.035,Complete,11.0,"14.281, 14.276, 14.276, 14.276, 14.276, 13.848, 13.637, 13.397,13.086, 13.086, 13.086, 13.086"
